Ana Paula Vieira                        32 anos
Claudio Mendonça                        18 anos
Gustavo Guanabara                       41 anos
Maria Clara Peixoto                     65 anos
Mauricio Souza                          19 anos 
Nilce Pedrosa                           43 anos 
Pedro Gonçalves                         18 anos 
Zuleide Lima                            55 anos 
Pedro Paulo Pereira                     30 anos 
Carlos Antunes                          2 anos 
Didi Mocó Sonrisol Colesterol           67 anos 
Mussum da Silva                          70 anos 
Maria Claudia Serra                      23 anos 
Cataria Peixoto                           2 anos 
Vó Conceição                            101 anos 
